coverage_label	setting	cohort	n_unique_CS	n_genes_with_CS
CS50	std_maf5	GFM	7446	5502
CS50	std_maf5	GTS	21582	9816
CS50	std_maf5	SVZ	37631	11747
CS50	std_maf5	THA	21534	9968
CS50	std_maf1	GFM	8994	6331
CS50	std_maf1	GTS	26014	10846
CS50	std_maf1	SVZ	45119	12674
CS50	std_maf1	THA	26158	10985
CS50	ss_maf5	GFM	9040	5697
CS50	ss_maf5	GTS	27427	9477
CS50	ss_maf5	SVZ	36594	11185
CS50	ss_maf5	THA	28018	9604
CS50	ss_maf1	GFM	11579	6718
CS50	ss_maf1	GTS	34058	10658
CS50	ss_maf1	SVZ	42404	12260
CS50	ss_maf1	THA	34848	10787
CS70	std_maf5	GFM	6766	4986
CS70	std_maf5	GTS	21018	9518
CS70	std_maf5	SVZ	37199	11567
CS70	std_maf5	THA	21000	9680
CS70	std_maf1	GFM	8356	5874
CS70	std_maf1	GTS	25535	10597
CS70	std_maf1	SVZ	44742	12539
CS70	std_maf1	THA	25661	10734
CS70	ss_maf5	GFM	8894	5588
CS70	ss_maf5	GTS	27273	9430
CS70	ss_maf5	SVZ	36437	11170
CS70	ss_maf5	THA	27858	9577
CS70	ss_maf1	GFM	11437	6624
CS70	ss_maf1	GTS	33916	10637
CS70	ss_maf1	SVZ	42266	12254
CS70	ss_maf1	THA	34684	10774
CS95	std_maf5	GFM	5021	3680
CS95	std_maf5	GTS	19090	8529
CS95	std_maf5	SVZ	35614	10952
CS95	std_maf5	THA	18974	8636
CS95	std_maf1	GFM	6531	4573
CS95	std_maf1	GTS	23735	9738
CS95	std_maf1	SVZ	43375	12094
CS95	std_maf1	THA	23859	9887
CS95	ss_maf5	GFM	7964	4945
CS95	ss_maf5	GTS	26275	9187
CS95	ss_maf5	SVZ	35413	11044
CS95	ss_maf5	THA	26857	9322
CS95	ss_maf1	GFM	10612	6122
CS95	ss_maf1	GTS	32946	10505
CS95	ss_maf1	SVZ	41194	12199
CS95	ss_maf1	THA	33648	10654
